priority,source_file_path,file_type,reason,recommended_action,safe_to_auto_process,needs_human_review
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Orders for slides and sections/H&E of sldies after tCyCIF/H&E_staining for 12_SPACE_Experiment2_16.2.2026.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Orders for slides and sections/H&E of sldies after tCyCIF/H&E_staining for 33_FINPROVE_Experiment4_19.9.2025.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Orders for slides and sections/H&E of sldies after tCyCIF/H&E_staining for 7_TLS_Experiment4_19.9.2025.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Orders for slides and sections/H&E of sldies after tCyCIF/H&E_staining for CIN2 and Fanconi projects 20.5.2025.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Orders for slides and sections/H&E of sldies after tCyCIF/H&E_staining for cellcycleproject.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Orders for slides and sections/SLIDES IN FÄRKKILÄ INVENTORY 2.9.2025 SS.xlsx,.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Protocols, instructions/Archive 2.0/Organoid Medium recipe_AN.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Protocols, instructions/FFPE blocks - troubleshooting.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Protocols, instructions/Spatial protocols/CycIF image processing report_template_.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Protocols, instructions/Tissue dissociation, organoids and iPDCs/Antibody pannel for Immune cell profiling.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Protocols, instructions/Tissue dissociation, organoids and iPDCs/iPDC culture medium.xlsx",.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Waste management/Chemical registry/Chemical Inventory LIST printed out 8 11 2018NC.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Waste management/Chemical registry/Chemical registry last update 6 06 2018.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Waste management/Chemical registry/~$Chemical registery.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Xenium experiment 2025/Xenium gene panel_2.10.2025.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/tCycIF projects/Instructions/Antibodies and scanning/Copy of Antibody Database_20_3_2026_SS.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/tCycIF projects/Instructions/Antibodies and scanning/cd-24-1366_supplementary_table_s4_suppst4.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/tCycIF projects/Instructions/Antibodies and scanning/olderdb.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/tCycIF projects/Instructions/Experiment planning/Auto_Proj_X_DONOTOVERWRITE_CycIF_template_AF.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/tCycIF projects/Instructions/Experiment planning/CYCLOPS_AUTO_PLAN.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/tCycIF projects/Instructions/Experiment planning/Copy of Project_X_TEMPLATE_DO_NOT_OVERWRITE_24.4.2025SS.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/tCycIF projects/Instructions/Experiment planning/Project_X_TEMPLATE_DO_NOT_OVERWRITE_24.4.2025SS.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/tCycIF projects/Instructions/Experiment planning/Spatial Profiling and Scanning plan_2026.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/tCycIF projects/Instructions/Experiment planning/tCycIF experimental planning _2026 (Responses).xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/tCycIF projects/tCycIF_individual_Projects/ Proj_4_11_postXenium_CycIF_autoCycIF_template.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/tCycIF projects/tCycIF_individual_Projects/ Project27_Validation_autotCycIF.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/tCycIF projects/tCycIF_individual_Projects/Auto_Proj_X_DONOTOVERWRITE_CycIF_template_AF.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/tCycIF projects/tCycIF_individual_Projects/Proj_00_freezetesting_CycIF_HE.xlsx,.xlsx,not_started,extract_text,True,False
